Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
1.2178e-07,1.8705e-07,8.2055e-07,1.8146e-06,6.0939e-06,1.3757e-05,2.1167e-05,3.0804e-05,3.0669e-05
1.4909e-08,1.3356e-08,1.2738e-10,9.8279e-07,3.1494e-06,1.1005e-05,1.058e-05,2.0015e-05,1.2221e-05
2.2526e-08,4.1161e-08,1.8804e-07,4.7029e-08,6.899e-07,4.0235e-06,1.8184e-06,6.0774e-06,4.6627e-09
2.0169e-08,2.3179e-09,7.9014e-09,1.228e-08,7.062e-08,2.343e-07,6.8436e-07,2.5534e-07,1.7103e-05
1.7119e-08,7.7872e-12,1.9913e-07,2.7476e-07,1.6923e-11,4.1194e-07,1.2795e-05,1.7415e-05,7.5788e-05
1.383e-08,2.0419e-09,6.9868e-07,4.4255e-07,5.6546e-07,5.1812e-06,4.55e-05,6.4896e-05,0.00016548
1.0508e-08,5.7292e-08,4.4474e-07,9.5932e-08,1.1484e-05,2.5523e-05,0.00010342,0.00013683,0.00021391
3.0724e-09,4.5787e-07,5.5949e-07,3.8245e-06,5.3444e-05,7.4308e-05,0.00012064,0.00016607,0.00016922
2.9278e-07,8.2319e-08,2.8959e-05,3.9929e-05,5.5935e-05,8.4709e-05,5.9719e-05,0.00010923,7.1826e-05
9.1344e-06,1.8884e-05,7.9561e-06,3.1655e-05,2.1674e-06,2.299e-05,1.1895e-06,2.4553e-05,2.7979e-06
2.6293e-06,5.0336e-06,4.086e-05,8.4815e-06,4.7047e-05,1.0341e-05,4.5263e-05,7.4193e-06,3.2958e-05
6.2014e-08,5.6264e-06,8.966e-06,6.047e-05,7.1504e-05,8.0397e-05,0.00010515,7.8406e-05,0.00010534
3.9037e-11,1.2127e-06,1.6138e-06,1.2769e-05,1.7068e-05,8.0153e-05,8.8559e-05,0.00012182,0.00013316
0,1.248e-07,9.6432e-07,8.0328e-07,1.2944e-07,2.1794e-05,2.7364e-05,9.611e-05,0.00010188
0,3.7348e-10,1.862e-07,2.1724e-06,2.908e-06,7.6646e-08,8.8892e-07,3.3556e-05,3.9783e-05
0,7.7826e-11,2.1445e-09,1.0432e-06,1.7527e-06,2.264e-06,1.3112e-06,2.7873e-06,5.5747e-06
0,4.3804e-14,7.7951e-10,2.4535e-07,1.1254e-06,2.8297e-06,3.5037e-06,4.688e-07,2.0223e-08
0,0,1.1615e-10,2.0924e-10,3.0258e-07,1.6577e-06,2.3532e-06,3.0685e-06,2.0209e-06
0,0,4.1966e-13,8.8738e-10,8.1423e-09,1.1612e-06,1.6753e-06,3.2232e-06,3.6699e-06
