Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
1.146e-07,1.7601e-07,7.7165e-07,1.8664e-06,3.4501e-06,6.841e-06,1.0113e-05,1.7582e-05,2.2953e-05
1.403e-08,1.2568e-08,2.7115e-10,8.504e-07,7.6706e-07,4.1777e-06,4.3618e-06,1.2044e-05,1.26e-05
2.1197e-08,3.8733e-08,1.3649e-07,1.4879e-08,6.883e-08,5.8832e-07,3.716e-07,4.0891e-06,3.3014e-06
1.8979e-08,2.1812e-09,3.6711e-08,3.3431e-07,6.2729e-07,2.0036e-07,4.7001e-07,1.48e-07,1.0274e-09
1.611e-08,2.3816e-13,3.5282e-09,1.9434e-07,5.2075e-07,1.1151e-06,1.9129e-06,1.0044e-06,2.124e-06
1.3015e-08,5.0367e-12,1.6762e-11,5.5803e-08,2.3283e-07,1.1492e-06,2.244e-06,3.2441e-06,5.6227e-06
9.8883e-09,1.5346e-12,1.5917e-10,9.849e-09,9.2054e-08,7.3575e-07,1.7886e-06,4.1188e-06,7.4044e-06
6.9273e-09,1.8849e-12,1.2647e-10,1.2902e-09,2.7564e-08,3.961e-07,1.1818e-06,3.7693e-06,7.4053e-06
4.3176e-09,2.2908e-12,1.4641e-10,1.3559e-09,9.9651e-09,2.1206e-07,7.8661e-07,2.9397e-06,6.4794e-06
2.2231e-09,2.6578e-12,1.9967e-10,1.8441e-09,8.9565e-09,1.051e-07,5.2048e-07,2.2011e-06,5.2928e-06
7.755e-10,2.9629e-12,2.5674e-10,1.6126e-09,1.2084e-08,6.4015e-08,3.4146e-07,1.6759e-06,4.338e-06
6.5719e-11,3.1869e-12,3.1206e-10,1.5786e-09,1.2291e-08,5.6527e-08,2.5458e-07,1.256e-06,3.542e-06
1.3835e-10,3.3158e-12,3.6208e-10,1.6357e-09,1.1749e-08,6.21e-08,2.2494e-07,9.461e-07,2.8234e-06
9.8884e-10,3.3413e-12,4.0368e-10,1.6316e-09,1.145e-08,6.3915e-08,2.2199e-07,7.6072e-07,2.2472e-06
2.5637e-09,3.2621e-12,4.3423e-10,1.5797e-09,1.124e-08,5.8871e-08,2.188e-07,6.6086e-07,1.8314e-06
4.7641e-09,3.0829e-12,4.5182e-10,1.48e-09,1.0618e-08,5.2578e-08,1.9764e-07,6.0452e-07,1.5356e-06
7.4516e-09,2.8151e-12,4.5533e-10,1.3388e-09,9.7127e-09,4.6256e-08,1.679e-07,5.5488e-07,1.3062e-06
1.0458e-08,2.4755e-12,4.4456e-10,1.165e-09,8.557e-09,3.9873e-08,1.3691e-07,4.8117e-07,1.1001e-06
1.3593e-08,2.0855e-12,4.2017e-10,9.6943e-10,7.2244e-09,3.2706e-08,1.0701e-07,3.8624e-07,8.8203e-07
1.6661e-08,1.6695e-12,3.837e-10,7.6443e-10,5.7985e-09,2.5356e-08,7.9167e-08,2.893e-07,6.4478e-07
1.9468e-08,1.2537e-12,3.3744e-10,5.6288e-10,4.3691e-09,1.8268e-08,5.3393e-08,2.0009e-07,4.2011e-07
2.1839e-08,8.6415e-13,2.843e-10,3.7743e-10,3.0258e-09,1.187e-08,3.1347e-08,1.2418e-07,2.335e-07
2.3624e-08,5.2542e-13,2.2762e-10,2.1974e-10,1.8531e-09,6.5652e-09,1.4485e-08,6.4624e-08,9.7371e-08
2.4711e-08,2.5877e-13,1.7095e-10,9.9723e-11,9.2479e-10,2.6856e-09,3.8139e-09,2.3172e-08,1.9215e-08
2.5032e-08,8.0947e-14,1.1786e-10,2.491e-11,2.9904e-10,4.7537e-10,4.785e-12,2.262e-09,1.2048e-09
2.4567e-08,3.1179e-15,7.1686e-11,6.8542e-15,1.523e-11,7.329e-11,3.2966e-09,3.3358e-09,4.2853e-08
2.3345e-08,3.0177e-14,3.5327e-11,2.6577e-11,9.1189e-11,1.5047e-09,1.3483e-08,2.6277e-08,1.4171e-07
2.1442e-08,1.6042e-13,1.1067e-11,1.0295e-10,5.2214e-10,4.6795e-09,2.9923e-08,6.9641e-08,2.915e-07
1.8979e-08,3.8568e-13,4.3216e-13,2.2433e-10,1.281e-09,9.3984e-09,5.1584e-08,1.307e-07,4.8266e-07
1.611e-08,6.9178e-13,4.0898e-12,3.8309e-10,2.3201e-09,1.5365e-08,7.7105e-08,2.0562e-07,7.0328e-07
1.3015e-08,1.0595e-12,2.181e-11,5.6925e-10,3.5742e-09,2.2204e-08,1.0488e-07,2.897e-07,9.3947e-07
9.8883e-09,1.4657e-12,5.248e-11,7.7112e-10,4.9644e-09,2.9486e-08,1.3317e-07,3.7764e-07,1.1764e-06
6.9273e-09,1.8849e-12,9.4172e-11,9.7601e-10,6.4034e-09,3.6753e-08,1.6019e-07,4.6393e-07,1.3992e-06
4.3176e-09,2.2908e-12,1.4427e-10,1.1711e-09,7.8007e-09,4.3549e-08,1.8425e-07,5.4314e-07,1.5939e-06
2.2231e-09,2.6578e-12,1.9962e-10,1.344e-09,9.0687e-09,4.9447e-08,2.0383e-07,6.103e-07,1.7482e-06
7.755e-10,2.9629e-12,2.5674e-10,1.4839e-09,1.0128e-08,5.4075e-08,2.1771e-07,6.6118e-07,1.8524e-06
6.5719e-11,3.1869e-12,3.1206e-10,1.5821e-09,1.0911e-08,5.7144e-08,2.2501e-07,6.9259e-07,1.9e-06
1.3835e-10,3.3158e-12,3.6208e-10,1.6324e-09,1.1369e-08,5.8461e-08,2.2527e-07,7.0256e-07,1.888e-06
9.8884e-10,3.3413e-12,4.0368e-10,1.6315e-09,1.1474e-08,5.7942e-08,2.1847e-07,6.9045e-07,1.8171e-06
2.5637e-09,3.2621e-12,4.3423e-10,1.5797e-09,1.1218e-08,5.5621e-08,2.0506e-07,6.5703e-07,1.6918e-06
4.7641e-09,3.0829e-12,4.5182e-10,1.48e-09,1.0619e-08,5.1643e-08,1.8585e-07,6.0441e-07,1.5201e-06
7.4516e-09,2.8151e-12,4.5533e-10,1.3388e-09,9.7127e-09,4.6258e-08,1.6208e-07,5.3587e-07,1.3125e-06
1.0458e-08,2.4755e-12,4.4456e-10,1.165e-09,8.557e-09,3.9804e-08,1.3521e-07,4.5574e-07,1.0823e-06
1.3593e-08,2.0855e-12,4.2017e-10,9.6943e-10,7.2244e-09,3.2687e-08,1.0696e-07,3.6905e-07,8.4387e-07
1.6661e-08,1.6695e-12,3.837e-10,7.6443e-10,5.7985e-09,2.5355e-08,7.9083e-08,2.8124e-07,6.1217e-07
1.9468e-08,1.2537e-12,3.3744e-10,5.6288e-10,4.3691e-09,1.8268e-08,5.334e-08,1.9784e-07,4.0179e-07
