Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
1.0004e-07,1.5366e-07,6.7365e-07,1.6294e-06,3.0119e-06,5.9722e-06,8.8289e-06,1.5349e-05,2.0037e-05
1.2248e-08,1.0972e-08,2.3672e-10,7.424e-07,6.6964e-07,3.6471e-06,3.8079e-06,1.0515e-05,1.1e-05
1.8505e-08,3.3813e-08,1.1916e-07,1.299e-08,6.0088e-08,5.136e-07,3.244e-07,3.5697e-06,2.8821e-06
1.6568e-08,1.9042e-09,3.2048e-08,2.9185e-07,5.4762e-07,1.7491e-07,4.1032e-07,1.2921e-07,8.9689e-10
1.4064e-08,2.0791e-13,3.0801e-09,1.6966e-07,4.5461e-07,9.7345e-07,1.6699e-06,8.7682e-07,1.8543e-06
1.1362e-08,4.3971e-12,1.4633e-11,4.8716e-08,2.0326e-07,1.0032e-06,1.959e-06,2.8321e-06,4.9086e-06
8.6324e-09,1.3397e-12,1.3896e-10,8.5981e-09,8.0363e-08,6.4231e-07,1.5615e-06,3.5957e-06,6.464e-06
6.0475e-09,1.6455e-12,1.1041e-10,1.1263e-09,2.4063e-08,3.4579e-07,1.0317e-06,3.2906e-06,6.4648e-06
3.7692e-09,1.9999e-12,1.2782e-10,1.1837e-09,8.6995e-09,1.8512e-07,6.8671e-07,2.5664e-06,5.6565e-06
1.9408e-09,2.3203e-12,1.7431e-10,1.6099e-09,7.819e-09,9.1748e-08,4.5438e-07,1.9216e-06,4.6206e-06
6.7701e-10,2.5866e-12,2.2414e-10,1.4078e-09,1.0549e-08,5.5885e-08,2.9809e-07,1.463e-06,3.787e-06
5.7372e-11,2.7822e-12,2.7242e-10,1.3781e-09,1.073e-08,4.9348e-08,2.2224e-07,1.0964e-06,3.0921e-06
1.2078e-10,2.8946e-12,3.161e-10,1.4279e-09,1.0257e-08,5.4213e-08,1.9638e-07,8.2594e-07,2.4648e-06
8.6325e-10,2.917e-12,3.5241e-10,1.4244e-09,9.996e-09,5.5798e-08,1.938e-07,6.6411e-07,1.9618e-06
2.2381e-09,2.8478e-12,3.7908e-10,1.379e-09,9.8126e-09,5.1394e-08,1.9101e-07,5.7693e-07,1.5988e-06
4.159e-09,2.6914e-12,3.9443e-10,1.292e-09,9.2693e-09,4.5901e-08,1.7254e-07,5.2774e-07,1.3406e-06
6.5053e-09,2.4576e-12,3.975e-10,1.1688e-09,8.4791e-09,4.0381e-08,1.4657e-07,4.8441e-07,1.1403e-06
9.1294e-09,2.1611e-12,3.881e-10,1.017e-09,7.4702e-09,3.4809e-08,1.1952e-07,4.2006e-07,9.604e-07
1.1867e-08,1.8206e-12,3.6681e-10,8.4631e-10,6.3068e-09,2.8552e-08,9.3418e-08,3.3719e-07,7.7001e-07
1.4545e-08,1.4574e-12,3.3497e-10,6.6735e-10,5.0621e-09,2.2136e-08,6.9112e-08,2.5256e-07,5.6289e-07
1.6996e-08,1.0944e-12,2.9459e-10,4.9139e-10,3.8142e-09,1.5947e-08,4.6611e-08,1.7467e-07,3.6675e-07
1.9065e-08,7.544e-13,2.4819e-10,3.295e-10,2.6415e-09,1.0363e-08,2.7366e-08,1.0841e-07,2.0385e-07
2.0624e-08,4.5869e-13,1.9871e-10,1.9184e-10,1.6178e-09,5.7314e-09,1.2646e-08,5.6416e-08,8.5005e-08
2.1573e-08,2.2591e-13,1.4924e-10,8.7058e-11,8.0733e-10,2.3445e-09,3.3295e-09,2.0229e-08,1.6775e-08
2.1853e-08,7.0666e-14,1.0289e-10,2.1747e-11,2.6106e-10,4.1499e-10,4.1773e-12,1.9747e-09,1.0518e-09
