Col0,Col1,Col2,Col3,Col4,Col5
0.0043402697180761,0.00398852381138047,0.00336439478910838,0.00259873252908921,0.00183100884683931,0.00117002313748985,0.000672666995880074
0.00581314050366448,0.00533430848111467,0.0044856733145914,0.00344678208265917,0.0024085148728241,0.00151890285993035,0.000853948470132732
0.00726445125748183,0.00668671129825533,0.00566000239313463,0.00439707926066063,0.00312559534195184,0.00202433731117242,0.0011880828019236
0.00866423263850086,0.00802637019515474,0.0068844549814383,0.00546170771609577,0.00400153248972386,0.00270206982922462,0.00167770392769276
0.0100287202021328,0.00936277708724487,0.00815824097131927,0.00663085444775562,0.0050228471934665,0.00354198758882452,0.00232198303558499
0.0113833304128471,0.0107108251196743,0.0094809102406175,0.00789206194609091,0.00617453043484891,0.00453701136693879,0.00312815157964978
0.0127501602024452,0.0120848876699121,0.0108552775213288,0.00923844822571833,0.00744644417902066,0.00568153359580878,0.00410077606396924
0.0141474490941813,0.0134982392296023,0.0122866816222967,0.0106676658811996,0.00883200251769326,0.00697011349985773,0.00524088780918742
0.0155907907726503,0.014963230838509,0.0137819211523185,0.012180383852631,0.0103273318917635,0.00839787400702219,0.0065471339832065
0.0170941022884484,0.016491601450977,0.0153487608694203,0.0137794696881408,0.0119308728871277,0.00996095769031724,0.00801685799888985
0.0186703242064621,0.0180947995804296,0.0169957599981898,0.01546956768554,0.0136431664814049,0.0116568924089745,0.00964704934540765
0.020331946140101,0.0197842802604815,0.0187322524033302,0.0172568851569187,0.0154667367108398,0.0134848748120684,0.0114351492544897
0.0220914234807838,0.0215717773387116,0.0205684068045023,0.0191491005018727,0.017406032180042,0.0154459855065059,0.0133797077199447
0.0239615301329062,0.0234695616332918,0.022515338141181,0.021155353417395,0.0194674126192382,0.0175433551322014,0.0154809039659939
0.0259556794337296,0.0254906981289912,0.0245852604147331,0.0232863000801569,0.0216591787185237,0.0197823038110358,0.0177409552226048
0.0280882382514349,0.0276493161235181,0.0267916810316997,0.025554228088481,0.0239916498207346,0.0221704774331995,0.0201644461025828
0.0303748557517917,0.0299609070785384,0.0291496426116601,0.0279732333497202,0.026477298049078,0.0247180042293205,0.0227586141745805
0.0328328275557346,0.0324426666596038,0.0316760229792913,0.0305594668021244,0.0291309508981566,0.0274376952105076,0.0255336283312336
0.0354815175798131,0.0351139005105596,0.0343899089872136,0.0333314644195502,0.0319700783233387,0.030345313263421,0.0285028970233266
0.038342863785717,0.0379965181612311,0.0373130658562321,0.0363105804251886,0.0350151857540357,0.0334599387492985,0.0316834448816999
0.0414420007905194,0.0411156467728814,0.0404705317991575,0.0395215520328557,0.0382903420874792,0.0368044651986108,0.0350964000312839
0.0448080427064179,0.0445004072154217,0.0438913789961839,0.0429932355623275,0.0418238827150491,0.040406268192647,0.0387676419264806
