3.688,1.0352,0.0076026,-0.0076026,0.0076026,-0.0076026,0.0076026
0.2936-3.4329i,-0.046915-0.10917i,0.78747-0.50356i,-0.78747+0.50356i,0.78747-0.50356i,-0.78747+0.50356i,0.78747-0.50356i
-1.5454-0.2889i,-0.89449-1.1742i,0.93115+0.41759i,-0.93115-0.41759i,0.93115+0.41759i,-0.93115-0.41759i,0.93115+0.41759i
-1.5219+4.2643i,-0.60941-0.41424i,0.031258+0.16235i,-0.031258-0.16235i,0.031258+0.16235i,-0.031258-0.16235i,0.031258+0.16235i
6.0217-0.59373i,-1.2478+1.213i,0.63506-0.54755i,-0.63506+0.54755i,0.63506-0.54755i,-0.63506+0.54755i,0.63506-0.54755i
-0.20158-3.2517i,-0.8196+1.172i,0.94482+0.28168i,-0.94482-0.28168i,0.94482+0.28168i,-0.94482-0.28168i,0.94482+0.28168i
-1.9315-2.3861i,1.347+1.3962i,0.039666+0.16039i,-0.039666-0.16039i,0.039666+0.16039i,-0.039666-0.16039i,0.039666+0.16039i
-8.0784+7.8448i,2.7118+0.43172i,-0.13363+0.28786i,0.13363-0.28786i,-0.13363+0.28786i,0.13363-0.28786i,-0.13363+0.28786i
10.111+4.5568i,12.474-0.25817i,-9.4202-0.58284i,9.4202+0.58284i,-9.4202-0.58284i,9.4202+0.58284i,-9.4202-0.58284i
14.671+19.654i,-22.185-48.344i,24.639+45.832i,-24.639-45.832i,24.639+45.832i,-24.639-45.832i,24.639+45.832i
28.113-53.208i,-44.349+76.774i,45.254-80.341i,-45.254+80.341i,45.254-80.341i,-45.254+80.341i,45.254-80.341i
-44.325+1.196i,74.334-7.521i,-75.349+3.9986i,75.349-3.9986i,-75.349+3.9986i,75.349-3.9986i,-75.349+3.9986i
-1.9579+3.0864i,-17.859-24.042i,15.313+21.667i,-15.313-21.667i,15.313+21.667i,-15.313-21.667i,15.313+21.667i
-2.0656+14.953i,-3.6284+0.59742i,0.52958-1.2037i,-0.52958+1.2037i,0.52958-1.2037i,-0.52958+1.2037i,0.52958-1.2037i
6.1337-3.2423i,-2.8661+1.0406i,0.3364+0.0071568i,-0.3364-0.0071568i,0.3364+0.0071568i,-0.3364-0.0071568i,0.3364+0.0071568i
0.9278+0.42022i,-0.99756+2.1i,-0.19207-0.15417i,0.19207+0.15417i,-0.19207-0.15417i,0.19207+0.15417i,-0.19207-0.15417i
-1.3653-5.4041i,0.26+1.77i,0.005174+0.061241i,-0.005174-0.061241i,0.005174+0.061241i,-0.005174-0.061241i,0.005174+0.061241i
-4.0762+5.0608i,1.5852+0.74346i,-0.38704+0.17873i,0.38704-0.17873i,-0.38704+0.17873i,0.38704-0.17873i,-0.38704+0.17873i
3.3564-0.41069i,1.5944-0.021278i,-0.30698-0.21025i,0.30698+0.21025i,-0.30698-0.21025i,0.30698+0.21025i,-0.30698-0.21025i
-0.24335+0.14073i,0.63493-1.0468i,0.010936+0.0057418i,-0.010936-0.0057418i,0.010936+0.0057418i,-0.010936-0.0057418i,0.010936+0.0057418i
0.71893-2.5494i,-0.010858-1.3404i,-0.26918+0.17487i,0.26918-0.17487i,-0.26918+0.17487i,0.26918-0.17487i,-0.26918+0.17487i
-3.9712+1.2769i,-0.68614-0.51312i,-0.28121-0.13718i,0.28121+0.13718i,-0.28121-0.13718i,0.28121+0.13718i,-0.28121-0.13718i
2.6241+1.3639i,-1.091+0.18457i,0.0045693-0.043204i,-0.0045693+0.043204i,0.0045693-0.043204i,-0.0045693+0.043204i,0.0045693-0.043204i
-0.51502-0.5296i,-0.48341+0.60231i,-0.16269+0.14801i,0.16269-0.14801i,-0.16269+0.14801i,0.16269-0.14801i,-0.16269+0.14801i
1.1075-0.95993i,0.29332+0.94602i,-0.24334-0.075341i,0.24334+0.075341i,-0.24334-0.075341i,0.24334+0.075341i,-0.24334-0.075341i
-2.7869-0.69743i,0.60603+0.5627i,-0.010128-0.068832i,0.010128+0.068832i,-0.010128-0.068832i,0.010128+0.068832i,-0.010128-0.068832i
1.1338+2.3842i,0.80175-0.23515i,-0.090657+0.1168i,0.090657-0.1168i,-0.090657+0.1168i,0.090657-0.1168i,-0.090657+0.1168i
0.066977-1.1042i,0.58468-0.57278i,-0.20561-0.029682i,0.20561+0.029682i,-0.20561-0.029682i,0.20561+0.029682i,-0.20561-0.029682i
0.79728+0.048533i,-0.14201-0.62239i,-0.026927-0.078591i,0.026927+0.078591i,-0.026927-0.078591i,0.026927+0.078591i,-0.026927-0.078591i
-1.4613-1.469i,-0.55949-0.4802i,-0.044115+0.086126i,0.044115-0.086126i,-0.044115+0.086126i,0.044115-0.086126i,-0.044115+0.086126i
-0.40591+2.2496i,-0.51808+0.10754i,-0.16992+0.0027453i,0.16992-0.0027453i,-0.16992+0.0027453i,0.16992-0.0027453i,-0.16992+0.0027453i
0.98339-0.88969i,-0.35887+0.58902i,-0.042585-0.078078i,0.042585+0.078078i,-0.042585-0.078078i,0.042585+0.078078i,-0.042585-0.078078i
0.096889+0.38047i,0.081624+0.5312i,-0.015383+0.057906i,0.015383-0.057906i,-0.015383+0.057906i,0.015383-0.057906i,-0.015383+0.057906i
-0.30659-1.5014i,0.57415+0.30002i,-0.13681+0.02468i,0.13681-0.02468i,-0.13681+0.02468i,0.13681-0.02468i,-0.13681+0.02468i
